time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180426:2310,0.0,0.0,0.0,0.0,0.0,8.64,1.38,0.0
20180427:0010,0.0,0.0,0.0,0.0,0.0,7.7,1.45,0.0
20180427:0110,0.0,0.0,0.0,0.0,0.0,7.93,1.24,0.0
20180427:0210,0.0,0.0,0.0,0.0,0.0,9.36,0.55,0.0
20180427:0310,0.0,0.0,0.0,0.0,0.0,9.28,0.14,0.0
20180427:0410,0.0,0.0,0.0,0.0,0.0,7.97,0.9,0.0
20180427:0510,43.82,16.56,55.87,0.0,8.4,6.55,1.31,0.0
20180427:0610,183.55,126.82,113.95,0.0,18.08,8.38,0.9,0.0
20180427:0710,308.39,196.15,183.33,0.01,27.76,10.82,1.38,0.0
20180427:0810,497.57,482.41,122.67,0.01,37.0,12.79,2.28,0.0
20180427:0910,601.17,605.58,130.9,0.01,45.18,14.42,2.76,0.0
20180427:1010,661.8,677.99,143.08,0.01,51.34,15.79,2.83,0.0
20180427:1110,689.78,741.03,128.05,0.01,54.26,17.03,2.41,0.0
20180427:1210,668.31,712.66,136.09,0.01,53.08,18.09,2.07,0.0
20180427:1310,620.8,671.85,117.92,0.01,48.18,18.98,1.79,0.0
20180427:1410,513.29,491.21,156.93,0.01,40.74,19.69,1.93,0.0
20180427:1510,327.24,186.58,228.5,0.01,31.86,20.18,2.21,0.0
20180427:1610,46.98,0.0,73.99,0.0,22.31,20.42,2.14,0.0
20180427:1710,18.12,0.0,36.0,0.0,12.58,19.89,1.45,0.0
20180427:1810,0.0,0.0,5.0,0.0,3.07,18.55,1.86,0.0
20180427:1910,0.0,0.0,0.0,0.0,0.0,16.9,2.21,0.0
20180427:2010,0.0,0.0,0.0,0.0,0.0,15.44,2.76,0.0
20180427:2110,0.0,0.0,0.0,0.0,0.0,14.93,3.1,0.0
20180427:2210,0.0,0.0,0.0,0.0,0.0,14.29,2.76,0.0
20180427:2310,0.0,0.0,0.0,0.0,0.0,13.24,2.14,0.0
20180428:0010,0.0,0.0,0.0,0.0,0.0,12.22,2.0,0.0
20180428:0110,0.0,0.0,0.0,0.0,0.0,11.57,2.21,0.0
20180428:0210,0.0,0.0,0.0,0.0,0.0,11.42,2.34,0.0
20180428:0310,0.0,0.0,0.0,0.0,0.0,11.0,2.34,0.0
20180428:0410,0.0,0.0,0.0,0.0,0.0,10.65,2.21,0.0
20180428:0510,54.53,45.81,50.7,0.0,8.66,10.07,2.07,0.0
20180428:0610,202.38,188.71,81.95,0.0,18.34,11.73,1.66,0.0
20180428:0710,323.75,235.34,164.35,0.01,28.02,13.29,2.55,0.0
20180428:0810,479.99,434.9,150.72,0.01,37.28,14.34,2.69,0.0
20180428:0910,576.42,535.74,173.03,0.01,45.47,15.52,2.83,0.0
20180428:1010,430.89,139.62,393.59,0.01,51.65,16.53,2.9,0.0
20180428:1110,232.65,3.04,291.99,0.0,54.57,17.45,2.76,0.0
20180428:1210,375.68,71.86,397.29,0.01,53.38,17.81,2.76,0.0
20180428:1310,503.19,305.52,322.12,0.01,48.44,17.75,2.48,0.0
20180428:1410,468.51,348.64,235.97,0.01,40.97,17.82,2.07,0.0
20180428:1510,357.15,248.06,199.57,0.01,32.08,17.55,1.86,0.0
20180428:1610,250.36,210.81,117.18,0.0,22.52,17.2,0.9,0.0
20180428:1710,31.12,0.0,53.0,0.0,12.79,16.98,0.07,0.0
20180428:1810,0.0,0.0,5.0,0.0,3.29,16.37,0.9,0.0
20180428:1910,0.0,0.0,0.0,0.0,0.0,14.77,2.21,0.0
20180428:2010,0.0,0.0,0.0,0.0,0.0,13.94,2.0,0.0
20180428:2110,0.0,0.0,0.0,0.0,0.0,13.17,1.86,0.0
20180428:2210,0.0,0.0,0.0,0.0,0.0,12.59,1.59,0.0
20180428:2310,0.0,0.0,0.0,0.0,0.0,12.03,1.72,0.0
20180429:0010,0.0,0.0,0.0,0.0,0.0,11.64,1.52,0.0
20180429:0110,0.0,0.0,0.0,0.0,0.0,11.41,1.38,0.0
20180429:0210,0.0,0.0,0.0,0.0,0.0,10.97,1.52,0.0
20180429:0310,0.0,0.0,0.0,0.0,0.0,10.13,1.31,0.0
20180429:0410,0.0,0.0,0.0,0.0,0.0,9.09,1.31,0.0
20180429:0510,16.96,0.0,33.0,0.0,8.92,9.03,1.17,0.0
20180429:0610,200.72,178.7,88.94,0.0,18.59,11.55,1.03,0.0
20180429:0710,337.06,278.54,141.34,0.01,28.28,13.86,1.45,0.0
20180429:0810,471.06,432.82,151.71,0.01,37.55,15.79,1.59,0.0
20180429:0910,582.03,596.3,132.87,0.01,45.76,18.0,2.21,0.0
20180429:1010,635.61,654.52,153.08,0.01,51.96,19.76,2.34,0.0
20180429:1110,668.91,741.83,121.97,0.01,54.89,21.27,2.07,0.0
20180429:1210,652.26,713.47,130.01,0.01,53.67,22.91,2.41,0.0
20180429:1310,562.48,508.79,214.22,0.01,48.71,24.1,2.76,0.0
20180429:1410,421.71,264.72,275.84,0.01,41.21,24.81,2.97,0.0
20180429:1510,363.55,290.35,177.58,0.01,32.29,25.08,3.24,0.0
20180429:1610,196.14,95.34,168.11,0.0,22.72,24.8,3.1,0.0
20180429:1710,26.4,0.0,48.0,0.0,13.0,23.88,3.03,0.0
20180429:1810,0.0,0.0,4.0,0.0,3.51,22.19,2.97,0.0
20180429:1910,0.0,0.0,0.0,0.0,0.0,18.57,2.9,0.0
